127.0.0.1 - - [25/May/2015:16:39:16 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/mapviewer.jsf?width=488&height=423 HTTP/1.1" 200 32914
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/css/esri_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/css/base-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/css/results.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/css/taskmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/themes/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/esri_navigator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/taskbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/mapviewer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/results.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/identify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/esri_colorchooser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/esri_edit.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/images/pixel.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/esri_core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/esri_callout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:57 -0700] "GET /caps33/js/esri_upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_overview.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_window.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_window_mgr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_task.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_toc.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_task_gp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_maptip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_graphics_vml.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:58 -0700] "GET /caps33/js/esri_map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:59 -0700] "GET /caps33/themes/blue/gradient-blue-1x30.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:59 -0700] "GET /caps33/themes/blue/header-blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:39:59 -0700] "GET /caps33/images/slider.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/forwardX.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/measure.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/pan.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/polylineX.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/identifyX.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/backX.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/zoomout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/point.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/zoomin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/polygonX.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/maptools/fullext.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/show-overview-map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2015:16:40:00 -0700] "GET /caps33/images/tasks/search/searchextent.gif HTTP/1.1" 304 -
